Name,Measure,Measure Info,Geo Type Name,Geo Join ID,Geo Place Name,Time Period,Start_Date,Data Value,Year,Data Value Normalized
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,304.0,Upper West Side,Summer 2012,06/01/2012,11.4,2012.0,0.026842477042618322
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,304.0,Upper West Side,Annual Average 2016,12/31/2015,8.5,2016.0,0.020014127619496114
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,304.0,Upper West Side,Summer 2013,06/01/2013,11.4,2013.0,0.026842477042618322
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,204.0,East New York,Annual Average 2018,01/01/2018,7.1,2018.0,0.016717683070402636
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,204.0,East New York,Summer 2021,06/01/2021,8.3,2021.0,0.01954320696962562
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,204.0,East New York,Summer 2012,06/01/2012,9.7,2012.0,0.022839651518719094
Nitrogen dioxide (NO2),Mean,ppb,UHF42,304.0,Upper West Side,Winter 2010-11,12/01/2010,33.7,2010.0,0.07935012950317873
Nitrogen dioxide (NO2),Mean,ppb,UHF42,304.0,Upper West Side,Annual Average 2013,12/01/2012,26.5,2013.0,0.06239698610784083
Nitrogen dioxide (NO2),Mean,ppb,UHF42,404.0,Bayside - Little Neck,Winter 2010-11,12/01/2010,26.2,2010.0,0.061690605133035085
Nitrogen dioxide (NO2),Mean,ppb,UHF42,211.0,Williamsburg - Bushwick,Summer 2009,06/01/2009,23.1,2009.0,0.05439133506004239
Nitrogen dioxide (NO2),Mean,ppb,UHF42,404.0,Bayside - Little Neck,Annual Average 2017,01/01/2017,16.6,2017.0,0.03908641393925124
Nitrogen dioxide (NO2),Mean,ppb,UHF42,211.0,Williamsburg - Bushwick,Annual Average 2021,01/01/2021,19.0,2021.0,0.0447374617376972
Nitrogen dioxide (NO2),Mean,ppb,UHF42,304.0,Upper West Side,Annual Average 2017,01/01/2017,23.4,2017.0,0.05509771603484813
Nitrogen dioxide (NO2),Mean,ppb,UHF42,304.0,Upper West Side,Annual Average 2012,12/01/2011,27.1,2012.0,0.06380974805745232
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,204.0,East New York,Annual Average 2016,12/31/2015,7.8,2016.0,0.018365905344949376
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,211.0,Williamsburg - Bushwick,Summer 2021,06/01/2021,9.2,2021.0,0.02166234989404285
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,104.0,Pelham - Throgs Neck,Summer 2012,06/01/2012,10.3,2012.0,0.02425241346833059
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,104.0,Pelham - Throgs Neck,Summer 2013,06/01/2013,10.3,2013.0,0.02425241346833059
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,204.0,East New York,Winter 2021-22,12/01/2021,6.7,2021.0,0.015775841770661644
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,104.0,Pelham - Throgs Neck,Summer 2021,06/01/2021,8.5,2021.0,0.020014127619496114
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,104.0,Pelham - Throgs Neck,Winter 2021-22,12/01/2021,7.2,2021.0,0.016953143395337888
Fine particles (PM 2.5),Mean,mcg/m3,UHF34,409.0,Southeast Queens,Winter 2014-15,12/01/2014,8.2,2014.0,0.019307746644690368
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,208.0,Canarsie - Flatlands,Summer 2021,06/01/2021,8.0,2021.0,0.018836825994819874
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,208.0,Canarsie - Flatlands,Annual Average 2017,01/01/2017,7.0,2017.0,0.01648222274546739
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,408.0,Jamaica,Annual Average 2021,01/01/2021,6.4,2021.0,0.0150694607958559
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,307.0,Gramercy Park - Murray Hill,Annual Average 2017,01/01/2017,10.3,2017.0,0.02425241346833059
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,307.0,Gramercy Park - Murray Hill,Annual Average 2021,01/01/2021,8.2,2021.0,0.019307746644690368
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,107.0,Hunts Point - Mott Haven,Annual Average 2018,01/01/2018,7.9,2018.0,0.018601365669884625
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,307.0,Gramercy Park - Murray Hill,Annual Average 2018,01/01/2018,10.3,2018.0,0.02425241346833059
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,407.0,Southwest Queens,Annual Average 2018,01/01/2018,6.6,2018.0,0.015540381445726394
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,308.0,Greenwich Village - SoHo,Summer 2013,06/01/2013,12.0,2013.0,0.02825523899222981
Nitrogen dioxide (NO2),Mean,ppb,UHF42,208.0,Canarsie - Flatlands,Annual Average 2017,01/01/2017,15.6,2017.0,0.03673181068989875
Nitrogen dioxide (NO2),Mean,ppb,UHF42,307.0,Gramercy Park - Murray Hill,Annual Average 2017,01/01/2017,30.3,2017.0,0.07134447845538028
Nitrogen dioxide (NO2),Mean,ppb,UHF42,408.0,Jamaica,Annual Average 2013,12/01/2012,19.0,2013.0,0.0447374617376972
Nitrogen dioxide (NO2),Mean,ppb,UHF42,308.0,Greenwich Village - SoHo,Summer 2009,06/01/2009,31.6,2009.0,0.0744054626795385
Nitrogen dioxide (NO2),Mean,ppb,UHF42,308.0,Greenwich Village - SoHo,Winter 2014-15,12/01/2014,30.2,2014.0,0.07110901813044503
Nitrogen dioxide (NO2),Mean,ppb,UHF42,308.0,Greenwich Village - SoHo,Annual Average 2017,01/01/2017,25.6,2017.0,0.0602778431834236
Nitrogen dioxide (NO2),Mean,ppb,UHF42,407.0,Southwest Queens,Summer 2009,06/01/2009,18.6,2009.0,0.043795620437956206
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,308.0,Greenwich Village - SoHo,Summer 2021,06/01/2021,10.2,2021.0,0.024016953143395338
Fine particles (PM 2.5),Mean,mcg/m3,Borough,2.0,Brooklyn,Summer 2012,06/01/2012,10.4,2012.0,0.024487873793265835
Fine particles (PM 2.5),Mean,mcg/m3,Borough,2.0,Brooklyn,Summer 2013,06/01/2013,10.3,2013.0,0.02425241346833059
Fine particles (PM 2.5),Mean,mcg/m3,Borough,2.0,Brooklyn,Annual Average 2016,12/31/2015,7.8,2016.0,0.018365905344949376
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,208.0,Canarsie - Flatlands,Winter 2021-22,12/01/2021,6.4,2021.0,0.0150694607958559
Fine particles (PM 2.5),Mean,mcg/m3,UHF34,202.0,Downtown - Heights - Slope,Winter 2014-15,12/01/2014,10.1,2014.0,0.02378149281846009
Fine particles (PM 2.5),Mean,mcg/m3,UHF34,202.0,Downtown - Heights - Slope,Annual Average 2017,01/01/2017,8.4,2017.0,0.01977866729456087
Fine particles (PM 2.5),Mean,mcg/m3,UHF34,301.0,Washington Heights,Annual Average 2013,12/01/2012,9.5,2013.0,0.0223687308688486
Fine particles (PM 2.5),Mean,mcg/m3,UHF34,301.0,Washington Heights,Summer 2009,06/01/2009,11.0,2009.0,0.025900635742877327
Fine particles (PM 2.5),Mean,mcg/m3,UHF34,301.0,Washington Heights,Annual Average 2017,01/01/2017,7.8,2017.0,0.018365905344949376
Fine particles (PM 2.5),Mean,mcg/m3,UHF34,102.0,Northeast Bronx,Winter 2010-11,12/01/2010,13.4,2010.0,0.03155168354132329
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,307.0,Gramercy Park - Murray Hill,Summer 2014,06/01/2014,12.4,2014.0,0.029197080291970805
Nitrogen dioxide (NO2),Mean,ppb,UHF42,408.0,Jamaica,Summer 2022,06/01/2022,10.5,2022.0,0.024723334118201084
Nitrogen dioxide (NO2),Mean,ppb,UHF42,307.0,Gramercy Park - Murray Hill,Annual Average 2016,12/31/2015,30.1,2016.0,0.07087355780550977
Nitrogen dioxide (NO2),Mean,ppb,UHF42,408.0,Jamaica,Summer 2012,06/01/2012,16.2,2012.0,0.038144572639510245
Nitrogen dioxide (NO2),Mean,ppb,UHF42,308.0,Greenwich Village - SoHo,Summer 2021,06/01/2021,17.9,2021.0,0.04214739816340946
Nitrogen dioxide (NO2),Mean,ppb,UHF42,308.0,Greenwich Village - SoHo,Winter 2021-22,12/01/2021,24.7,2021.0,0.05815870025900636
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,301.0,Washington Heights,Summer 2013,06/01/2013,10.4,2013.0,0.024487873793265835
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,201.0,Greenpoint,Annual Average 2017,01/01/2017,9.0,2017.0,0.021191429244172357
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,201.0,Greenpoint,Summer 2013,06/01/2013,11.5,2013.0,0.027077937367553567
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,201.0,Greenpoint,Winter 2021-22,12/01/2021,7.4,2021.0,0.017424064045208385
Nitrogen dioxide (NO2),Mean,ppb,UHF42,201.0,Greenpoint,Annual Average 2017,01/01/2017,21.2,2017.0,0.049917588886272665
Nitrogen dioxide (NO2),Mean,ppb,UHF42,301.0,Washington Heights,Annual Average 2017,01/01/2017,20.6,2017.0,0.04850482693666118
Nitrogen dioxide (NO2),Mean,ppb,UHF42,401.0,Long Island City - Astoria,Winter 2010-11,12/01/2010,31.5,2010.0,0.07417000235460325
Nitrogen dioxide (NO2),Mean,ppb,UHF42,201.0,Greenpoint,Summer 2022,06/01/2022,14.1,2022.0,0.033199905815870026
Nitrogen dioxide (NO2),Mean,ppb,UHF42,301.0,Washington Heights,Summer 2022,06/01/2022,13.5,2022.0,0.031787143866258534
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,301.0,Washington Heights,Winter 2021-22,12/01/2021,7.3,2021.0,0.017188603720273133
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,501.0,Port Richmond,Annual Average 2016,12/31/2015,7.3,2016.0,0.017188603720273133
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,101.0,Kingsbridge - Riverdale,Annual Average 2018,01/01/2018,7.0,2018.0,0.01648222274546739
Fine particles (PM 2.5),Mean,mcg/m3,UHF34,209.0,Bensonhurst - Bay Ridge,Winter 2014-15,12/01/2014,8.5,2014.0,0.020014127619496114
Fine particles (PM 2.5),Mean,mcg/m3,UHF34,211.0,Williamsburg - Bushwick,Winter 2014-15,12/01/2014,10.0,2014.0,0.02354603249352484
Fine particles (PM 2.5),Mean,mcg/m3,UHF34,211.0,Williamsburg - Bushwick,Annual Average 2017,01/01/2017,8.2,2017.0,0.019307746644690368
Fine particles (PM 2.5),Mean,mcg/m3,UHF34,211.0,Williamsburg - Bushwick,Annual Average 2013,12/01/2012,9.4,2013.0,0.022133270543913352
Nitrogen dioxide (NO2),Mean,ppb,UHF42,201.0,Greenpoint,Winter 2021-22,12/01/2021,23.7,2021.0,0.05580409700965387
Nitrogen dioxide (NO2),Mean,ppb,UHF42,301.0,Washington Heights,Annual Average 2016,12/31/2015,19.9,2016.0,0.04685660466211443
Nitrogen dioxide (NO2),Mean,ppb,UHF42,301.0,Washington Heights,Winter 2021-22,12/01/2021,21.2,2021.0,0.049917588886272665
Nitrogen dioxide (NO2),Mean,ppb,UHF42,201.0,Greenpoint,Annual Average 2013,12/01/2012,22.9,2013.0,0.05392041441017188
Nitrogen dioxide (NO2),Mean,ppb,UHF42,201.0,Greenpoint,Winter 2010-11,12/01/2010,32.2,2010.0,0.07581822462915
Nitrogen dioxide (NO2),Mean,ppb,UHF42,201.0,Greenpoint,Winter 2014-15,12/01/2014,26.8,2014.0,0.06310336708264658
Fine particles (PM 2.5),Mean,mcg/m3,CD,210.0,Throgs Neck and Co-op City (CD10),Annual Average 2017,01/01/2017,7.5,2017.0,0.01765952437014363
Fine particles (PM 2.5),Mean,mcg/m3,CD,210.0,Throgs Neck and Co-op City (CD10),Annual Average 2021,01/01/2021,6.5,2021.0,0.015304921120791147
Fine particles (PM 2.5),Mean,mcg/m3,CD,210.0,Throgs Neck and Co-op City (CD10),Winter 2010-11,12/01/2010,13.1,2010.0,0.030845302566517543
Fine particles (PM 2.5),Mean,mcg/m3,CD,212.0,Williamsbridge and Baychester (CD12),Summer 2009,06/01/2009,10.2,2009.0,0.024016953143395338
Fine particles (PM 2.5),Mean,mcg/m3,CD,210.0,Throgs Neck and Co-op City (CD10),Summer 2021,06/01/2021,8.4,2021.0,0.01977866729456087
Fine particles (PM 2.5),Mean,mcg/m3,CD,412.0,Jamaica and Hollis (CD12),Winter 2021-22,12/01/2021,6.6,2021.0,0.015540381445726394
Fine particles (PM 2.5),Mean,mcg/m3,CD,410.0,South Ozone Park and Howard Beach (CD10),Annual Average 2016,12/31/2015,6.9,2016.0,0.016246762420532142
Fine particles (PM 2.5),Mean,mcg/m3,CD,210.0,Throgs Neck and Co-op City (CD10),Annual Average 2018,01/01/2018,6.9,2018.0,0.016246762420532142
Fine particles (PM 2.5),Mean,mcg/m3,CD,410.0,South Ozone Park and Howard Beach (CD10),Summer 2021,06/01/2021,7.8,2021.0,0.018365905344949376
Fine particles (PM 2.5),Mean,mcg/m3,CD,412.0,Jamaica and Hollis (CD12),Summer 2012,06/01/2012,10.0,2012.0,0.02354603249352484
Fine particles (PM 2.5),Mean,mcg/m3,CD,412.0,Jamaica and Hollis (CD12),Summer 2013,06/01/2013,10.1,2013.0,0.02378149281846009
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,211.0,Williamsburg - Bushwick,Annual Average 2009,12/01/2008,11.4,2009.0,0.026842477042618322
Nitrogen dioxide (NO2),Mean,ppb,UHF42,204.0,East New York,Summer 2022,06/01/2022,10.9,2022.0,0.02566517541794208
Nitrogen dioxide (NO2),Mean,ppb,UHF42,304.0,Upper West Side,Annual Average 2016,12/31/2015,23.2,2016.0,0.05462679538497763
Nitrogen dioxide (NO2),Mean,ppb,UHF42,304.0,Upper West Side,Annual Average 2018,01/01/2018,22.2,2018.0,0.052272192135625145
Nitrogen dioxide (NO2),Mean,ppb,UHF42,304.0,Upper West Side,Summer 2021,06/01/2021,15.7,2021.0,0.036967271014834
Nitrogen dioxide (NO2),Mean,ppb,UHF42,104.0,Pelham - Throgs Neck,Annual Average 2016,12/31/2015,17.9,2016.0,0.04214739816340946
Nitrogen dioxide (NO2),Mean,ppb,UHF42,211.0,Williamsburg - Bushwick,Annual Average 2018,01/01/2018,21.0,2018.0,0.04944666823640217
Nitrogen dioxide (NO2),Mean,ppb,UHF42,304.0,Upper West Side,Winter 2021-22,12/01/2021,22.1,2021.0,0.05203673181068991
Nitrogen dioxide (NO2),Mean,ppb,UHF42,104.0,Pelham - Throgs Neck,Winter 2021-22,12/01/2021,21.8,2021.0,0.05133035083588416
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,211.0,Williamsburg - Bushwick,Summer 2014,06/01/2014,10.9,2014.0,0.02566517541794208
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,211.0,Williamsburg - Bushwick,Annual Average 2015,01/01/2015,9.6,2015.0,0.022604191193783846
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,104.0,Pelham - Throgs Neck,Annual Average 2009,12/01/2008,10.6,2009.0,0.024958794443136333
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,104.0,Pelham - Throgs Neck,Annual Average 2011,12/01/2010,10.5,2011.0,0.024723334118201084
Fine particles (PM 2.5),Mean,mcg/m3,CD,207.0,Kingsbridge Heights and Bedford (CD7),Annual Average 2013,12/01/2012,9.4,2013.0,0.022133270543913352
Fine particles (PM 2.5),Mean,mcg/m3,CD,307.0,Sunset Park (CD7),Annual Average 2013,12/01/2012,9.2,2013.0,0.02166234989404285
Fine particles (PM 2.5),Mean,mcg/m3,CD,207.0,Kingsbridge Heights and Bedford (CD7),Summer 2012,06/01/2012,10.6,2012.0,0.024958794443136333
Fine particles (PM 2.5),Mean,mcg/m3,CD,207.0,Kingsbridge Heights and Bedford (CD7),Summer 2013,06/01/2013,10.6,2013.0,0.024958794443136333
Fine particles (PM 2.5),Mean,mcg/m3,CD,207.0,Kingsbridge Heights and Bedford (CD7),Annual Average 2018,01/01/2018,7.4,2018.0,0.017424064045208385
Fine particles (PM 2.5),Mean,mcg/m3,CD,207.0,Kingsbridge Heights and Bedford (CD7),Summer 2021,06/01/2021,8.7,2021.0,0.02048504826936661
Fine particles (PM 2.5),Mean,mcg/m3,CD,207.0,Kingsbridge Heights and Bedford (CD7),Winter 2021-22,12/01/2021,7.4,2021.0,0.017424064045208385
Fine particles (PM 2.5),Mean,mcg/m3,CD,414.0,Rockaway and Broad Channel (CD14),Summer 2012,06/01/2012,9.4,2012.0,0.022133270543913352
Fine particles (PM 2.5),Mean,mcg/m3,CD,414.0,Rockaway and Broad Channel (CD14),Summer 2013,06/01/2013,9.4,2013.0,0.022133270543913352
Fine particles (PM 2.5),Mean,mcg/m3,CD,307.0,Sunset Park (CD7),Winter 2021-22,12/01/2021,7.3,2021.0,0.017188603720273133
Fine particles (PM 2.5),Mean,mcg/m3,CD,107.0,Upper West Side (CD7),Summer 2013,06/01/2013,11.4,2013.0,0.026842477042618322
Fine particles (PM 2.5),Mean,mcg/m3,CD,107.0,Upper West Side (CD7),Summer 2012,06/01/2012,11.4,2012.0,0.026842477042618322
Fine particles (PM 2.5),Mean,mcg/m3,CD,407.0,Flushing and Whitestone (CD7),Summer 2021,06/01/2021,8.3,2021.0,0.01954320696962562
Fine particles (PM 2.5),Mean,mcg/m3,CD,407.0,Flushing and Whitestone (CD7),Winter 2021-22,12/01/2021,7.0,2021.0,0.01648222274546739
Fine particles (PM 2.5),Mean,mcg/m3,CD,414.0,Rockaway and Broad Channel (CD14),Summer 2009,06/01/2009,9.6,2009.0,0.022604191193783846
Fine particles (PM 2.5),Mean,mcg/m3,CD,414.0,Rockaway and Broad Channel (CD14),Annual Average 2013,12/01/2012,7.6,2013.0,0.01789498469507888
Fine particles (PM 2.5),Mean,mcg/m3,CD,414.0,Rockaway and Broad Channel (CD14),Winter 2010-11,12/01/2010,10.3,2010.0,0.02425241346833059
Fine particles (PM 2.5),Mean,mcg/m3,CD,107.0,Upper West Side (CD7),Summer 2009,06/01/2009,12.1,2009.0,0.028490699317165056
Nitrogen dioxide (NO2),Mean,ppb,UHF42,407.0,Southwest Queens,Summer 2013,06/01/2013,16.6,2013.0,0.03908641393925124
Nitrogen dioxide (NO2),Mean,ppb,UHF42,407.0,Southwest Queens,Annual Average 2018,01/01/2018,17.2,2018.0,0.040499175888862725
Fine particles (PM 2.5),Mean,mcg/m3,CD,304.0,Bushwick (CD4),Winter 2014-15,12/01/2014,9.4,2014.0,0.022133270543913352
Fine particles (PM 2.5),Mean,mcg/m3,CD,304.0,Bushwick (CD4),Annual Average 2018,01/01/2018,7.5,2018.0,0.01765952437014363
Fine particles (PM 2.5),Mean,mcg/m3,CD,304.0,Bushwick (CD4),Winter 2021-22,12/01/2021,7.3,2021.0,0.017188603720273133
Fine particles (PM 2.5),Mean,mcg/m3,CD,303.0,Bedford Stuyvesant (CD3),Summer 2021,06/01/2021,8.8,2021.0,0.020720508594301863
Fine particles (PM 2.5),Mean,mcg/m3,CD,303.0,Bedford Stuyvesant (CD3),Annual Average 2016,12/31/2015,8.1,2016.0,0.019072286319755122
Fine particles (PM 2.5),Mean,mcg/m3,CD,403.0,Jackson Heights (CD3),Annual Average 2017,01/01/2017,7.2,2017.0,0.016953143395337888
Fine particles (PM 2.5),Mean,mcg/m3,CD,303.0,Bedford Stuyvesant (CD3),Annual Average 2021,01/01/2021,6.8,2021.0,0.016011302095596893
Nitrogen dioxide (NO2),Mean,ppb,Borough,2.0,Brooklyn,Annual Average 2017,01/01/2017,18.5,2017.0,0.043560160113020954
Nitrogen dioxide (NO2),Mean,ppb,UHF42,207.0,East Flatbush - Flatbush,Summer 2009,06/01/2009,21.4,2009.0,0.050388509536143156
Nitrogen dioxide (NO2),Mean,ppb,UHF42,208.0,Canarsie - Flatlands,Winter 2015-16,12/01/2015,20.9,2015.0,0.049211207911466916
Nitrogen dioxide (NO2),Mean,ppb,UHF42,408.0,Jamaica,Summer 2010,06/01/2010,17.9,2010.0,0.04214739816340946
Nitrogen dioxide (NO2),Mean,ppb,UHF42,408.0,Jamaica,Summer 2016,06/01/2016,13.1,2016.0,0.030845302566517543
Nitrogen dioxide (NO2),Mean,ppb,UHF42,307.0,Gramercy Park - Murray Hill,Winter 2020-21,12/01/2020,27.0,2020.0,0.06357428773251707
